method,base_bytes,correction_bytes,total_bytes,exact,raw_bytes,bits_per_pixel,ratio_to_raw,delta_vs_source_png,image,width,height,cells,representation_seconds,psnr,geometry_bytes_included,quality
source_png,38577,0,38577,True,196608,4.7091064453125,5.096508282137025,0,pikachu,256,256,546,0.5152101250132546,26.300765736508307,,
support_png+modular_png,34851,43235,78086,True,196608,9.531982421875,2.5178393053812465,39509,pikachu,256,256,546,0.5152101250132546,26.300765736508307,,
support_png+signed_png,34851,60750,95601,True,196608,11.6700439453125,2.0565475256534973,57024,pikachu,256,256,546,0.5152101250132546,26.300765736508307,,
source_finite_predictor,38222,0,38222,True,196608,4.665771484375,5.143843859557323,-355,pikachu,256,256,546,0.5152101250132546,26.300765736508307,,
support_finite+signed_finite,35223,58611,93834,True,196608,11.454345703125,2.0952746339280006,55257,pikachu,256,256,546,0.5152101250132546,26.300765736508307,,
geometry_base+cell_residual,0,42649,42649,True,196608,5.2061767578125,4.609908790358507,4072,pikachu,256,256,546,0.5152101250132546,26.300765736508307,False,
source_dct_q50+modular_png,8063,48813,56876,True,196608,6.94287109375,3.4567831774386386,18299,pikachu,256,256,546,0.5152101250132546,26.300765736508307,,50
support_dct_q50+modular_png,8148,55030,63178,True,196608,7.712158203125,3.111969356421539,24601,pikachu,256,256,546,0.5152101250132546,26.300765736508307,,50
source_dct_q75+modular_png,11534,45933,57467,True,196608,7.0150146484375,3.4212330554927175,18890,pikachu,256,256,546,0.5152101250132546,26.300765736508307,,75
support_dct_q75+modular_png,11751,55474,67225,True,196608,8.2061767578125,2.924626255113425,28648,pikachu,256,256,546,0.5152101250132546,26.300765736508307,,75
source_dct_q90+modular_png,18284,41950,60234,True,196608,7.352783203125,3.264070126506624,21657,pikachu,256,256,546,0.5152101250132546,26.300765736508307,,90
support_dct_q90+modular_png,18649,54819,73468,True,196608,8.96826171875,2.6761038819622147,34891,pikachu,256,256,546,0.5152101250132546,26.300765736508307,,90
