method,base_bytes,correction_bytes,total_bytes,exact,raw_bytes,bits_per_pixel,ratio_to_raw,delta_vs_source_png,image,width,height,cells,representation_seconds,psnr,geometry_bytes_included,quality
source_png,85621,0,85621,True,131328,15.647112573099415,1.5338293175739597,0,coffee,256,171,1133,0.3384265829954529,27.685462652604393,,
support_png+modular_png,65955,81197,147152,True,131328,26.891812865497077,0.8924649342176797,61531,coffee,256,171,1133,0.3384265829954529,27.685462652604393,,
support_png+signed_png,65955,113194,179149,True,131328,32.73921783625731,0.7330657720668271,93528,coffee,256,171,1133,0.3384265829954529,27.685462652604393,,
source_finite_predictor,86820,0,86820,True,131328,15.866228070175438,1.5126468555632342,1199,coffee,256,171,1133,0.3384265829954529,27.685462652604393,,
support_finite+signed_finite,64939,112953,177892,True,131328,32.509502923976605,0.7382456771524296,92271,coffee,256,171,1133,0.3384265829954529,27.685462652604393,,
geometry_base+cell_residual,0,82367,82367,True,131328,15.052448830409357,1.5944249517403815,-3254,coffee,256,171,1133,0.3384265829954529,27.685462652604393,False,
source_dct_q50+modular_png,9658,85200,94858,True,131328,17.33516081871345,1.3844694174450232,9237,coffee,256,171,1133,0.3384265829954529,27.685462652604393,,50
support_dct_q50+modular_png,8429,88904,97333,True,131328,17.787463450292396,1.3492648947427903,11712,coffee,256,171,1133,0.3384265829954529,27.685462652604393,,50
source_dct_q75+modular_png,15144,80556,95700,True,131328,17.489035087719298,1.3722884012539185,10079,coffee,256,171,1133,0.3384265829954529,27.685462652604393,,75
support_dct_q75+modular_png,13049,87182,100231,True,131328,18.317068713450293,1.3102533148427133,14610,coffee,256,171,1133,0.3384265829954529,27.685462652604393,,75
source_dct_q90+modular_png,26374,72818,99192,True,131328,18.12719298245614,1.3239777401403339,13571,coffee,256,171,1133,0.3384265829954529,27.685462652604393,,90
support_dct_q90+modular_png,22663,85495,108158,True,131328,19.765716374269005,1.214223635792082,22537,coffee,256,171,1133,0.3384265829954529,27.685462652604393,,90
source_png,52453,0,52453,True,196608,6.4029541015625,3.7482698797018283,0,camera,256,256,1799,0.3285120829968946,29.077794754172487,,
support_png+modular_png,39872,48727,88599,True,196608,10.8153076171875,2.219076964751295,36146,camera,256,256,1799,0.3285120829968946,29.077794754172487,,
support_png+signed_png,39872,59796,99668,True,196608,12.16650390625,1.9726291287073083,47215,camera,256,256,1799,0.3285120829968946,29.077794754172487,,
source_finite_predictor,51421,0,51421,True,196608,6.2769775390625,3.823496236945995,-1032,camera,256,256,1799,0.3285120829968946,29.077794754172487,,
support_finite+signed_finite,39145,60154,99299,True,196608,12.1214599609375,1.9799595162086225,46846,camera,256,256,1799,0.3285120829968946,29.077794754172487,,
geometry_base+cell_residual,0,40943,40943,True,196608,4.9979248046875,4.801993014678944,-11510,camera,256,256,1799,0.3285120829968946,29.077794754172487,False,
source_dct_q50+modular_png,7732,46317,54049,True,196608,6.5977783203125,3.637588114488705,1596,camera,256,256,1799,0.3285120829968946,29.077794754172487,,50
support_dct_q50+modular_png,6612,51622,58234,True,196608,7.108642578125,3.3761719957413194,5781,camera,256,256,1799,0.3285120829968946,29.077794754172487,,50
source_dct_q75+modular_png,11782,42324,54106,True,196608,6.604736328125,3.6337559605219383,1653,camera,256,256,1799,0.3285120829968946,29.077794754172487,,75
support_dct_q75+modular_png,9864,50818,60682,True,196608,7.407470703125,3.2399723146896937,8229,camera,256,256,1799,0.3285120829968946,29.077794754172487,,75
source_dct_q90+modular_png,19933,35546,55479,True,196608,6.7723388671875,3.5438273941491376,3026,camera,256,256,1799,0.3285120829968946,29.077794754172487,,90
support_dct_q90+modular_png,16479,50136,66615,True,196608,8.1317138671875,2.951407340689034,14162,camera,256,256,1799,0.3285120829968946,29.077794754172487,,90
source_png,115452,0,115452,True,196608,14.09326171875,1.7029414821744102,0,astronaut,256,256,1534,0.32472029099881183,26.702416671504814,,
support_png+modular_png,93982,113483,207465,True,196608,25.3253173828125,0.9476682813968621,92013,astronaut,256,256,1534,0.32472029099881183,26.702416671504814,,
support_png+signed_png,93982,157007,250989,True,196608,30.6383056640625,0.7833331341214157,135537,astronaut,256,256,1534,0.32472029099881183,26.702416671504814,,
source_finite_predictor,115530,0,115530,True,196608,14.102783203125,1.7017917424045703,78,astronaut,256,256,1534,0.32472029099881183,26.702416671504814,,
support_finite+signed_finite,95160,152970,248130,True,196608,30.289306640625,0.7923588441542739,132678,astronaut,256,256,1534,0.32472029099881183,26.702416671504814,,
geometry_base+cell_residual,0,116926,116926,True,196608,14.273193359375,1.6814737526298684,1474,astronaut,256,256,1534,0.32472029099881183,26.702416671504814,False,
source_dct_q50+modular_png,14613,113367,127980,True,196608,15.62255859375,1.5362400375058602,12528,astronaut,256,256,1534,0.32472029099881183,26.702416671504814,,50
support_dct_q50+modular_png,13285,120486,133771,True,196608,16.3294677734375,1.4697355929162523,18319,astronaut,256,256,1534,0.32472029099881183,26.702416671504814,,50
source_dct_q75+modular_png,21415,106259,127674,True,196608,15.585205078125,1.5399219888152638,12222,astronaut,256,256,1534,0.32472029099881183,26.702416671504814,,75
support_dct_q75+modular_png,19791,119949,139740,True,196608,17.05810546875,1.4069557750107342,24288,astronaut,256,256,1534,0.32472029099881183,26.702416671504814,,75
source_dct_q90+modular_png,34899,94339,129238,True,196608,15.776123046875,1.5212863089803308,13786,astronaut,256,256,1534,0.32472029099881183,26.702416671504814,,90
support_dct_q90+modular_png,33069,119520,152589,True,196608,18.6265869140625,1.2884808210290388,37137,astronaut,256,256,1534,0.32472029099881183,26.702416671504814,,90
