method,base_bytes,correction_bytes,total_bytes,exact,raw_bytes,bits_per_pixel,ratio_to_raw,delta_vs_source_png,image,width,height,cells,representation_seconds,psnr,geometry_bytes_included,quality
source_png,38577,0,38577,True,196608,4.7091064453125,5.096508282137025,0,pikachu,256,256,546,0.6164077499997802,26.300765736508307,,
support_png+modular_png,34851,43235,78086,True,196608,9.531982421875,2.5178393053812465,39509,pikachu,256,256,546,0.6164077499997802,26.300765736508307,,
support_png+signed_png,34851,60750,95601,True,196608,11.6700439453125,2.0565475256534973,57024,pikachu,256,256,546,0.6164077499997802,26.300765736508307,,
source_finite_predictor,38222,0,38222,True,196608,4.665771484375,5.143843859557323,-355,pikachu,256,256,546,0.6164077499997802,26.300765736508307,,
support_finite+signed_finite,35223,58611,93834,True,196608,11.454345703125,2.0952746339280006,55257,pikachu,256,256,546,0.6164077499997802,26.300765736508307,,
geometry_base+cell_residual,0,42649,42649,True,196608,5.2061767578125,4.609908790358507,4072,pikachu,256,256,546,0.6164077499997802,26.300765736508307,False,
geometry_base+residual_dct_q25+tail_png,1216,47462,48678,True,196608,5.942138671875,4.038949833600395,10101,pikachu,256,256,546,0.6164077499997802,26.300765736508307,False,25
source_dct_q25+modular_png,5348,50159,55507,True,196608,6.7757568359375,3.5420397427351507,16930,pikachu,256,256,546,0.6164077499997802,26.300765736508307,,25
support_dct_q25+modular_png,5307,53269,58576,True,196608,7.150390625,3.3564599836110354,19999,pikachu,256,256,546,0.6164077499997802,26.300765736508307,,25
geometry_base+residual_dct_q50+tail_png,2523,48888,51411,True,196608,6.2757568359375,3.824239948649122,12834,pikachu,256,256,546,0.6164077499997802,26.300765736508307,False,50
source_dct_q50+modular_png,8063,48813,56876,True,196608,6.94287109375,3.4567831774386386,18299,pikachu,256,256,546,0.6164077499997802,26.300765736508307,,50
support_dct_q50+modular_png,8148,55030,63178,True,196608,7.712158203125,3.111969356421539,24601,pikachu,256,256,546,0.6164077499997802,26.300765736508307,,50
geometry_base+residual_dct_q75+tail_png,4566,49094,53660,True,196608,6.55029296875,3.663958255683936,15083,pikachu,256,256,546,0.6164077499997802,26.300765736508307,False,75
source_dct_q75+modular_png,11534,45933,57467,True,196608,7.0150146484375,3.4212330554927175,18890,pikachu,256,256,546,0.6164077499997802,26.300765736508307,,75
support_dct_q75+modular_png,11751,55474,67225,True,196608,8.2061767578125,2.924626255113425,28648,pikachu,256,256,546,0.6164077499997802,26.300765736508307,,75
geometry_base+residual_dct_q90+tail_png,9355,48630,57985,True,196608,7.0782470703125,3.390670000862292,19408,pikachu,256,256,546,0.6164077499997802,26.300765736508307,False,90
source_dct_q90+modular_png,18284,41950,60234,True,196608,7.352783203125,3.264070126506624,21657,pikachu,256,256,546,0.6164077499997802,26.300765736508307,,90
support_dct_q90+modular_png,18649,54819,73468,True,196608,8.96826171875,2.6761038819622147,34891,pikachu,256,256,546,0.6164077499997802,26.300765736508307,,90
source_png,52453,0,52453,True,196608,6.4029541015625,3.7482698797018283,0,camera,256,256,1799,0.3898360839957604,29.077794754172487,,
support_png+modular_png,39872,48727,88599,True,196608,10.8153076171875,2.219076964751295,36146,camera,256,256,1799,0.3898360839957604,29.077794754172487,,
support_png+signed_png,39872,59796,99668,True,196608,12.16650390625,1.9726291287073083,47215,camera,256,256,1799,0.3898360839957604,29.077794754172487,,
source_finite_predictor,51421,0,51421,True,196608,6.2769775390625,3.823496236945995,-1032,camera,256,256,1799,0.3898360839957604,29.077794754172487,,
support_finite+signed_finite,39145,60154,99299,True,196608,12.1214599609375,1.9799595162086225,46846,camera,256,256,1799,0.3898360839957604,29.077794754172487,,
geometry_base+cell_residual,0,40943,40943,True,196608,4.9979248046875,4.801993014678944,-11510,camera,256,256,1799,0.3898360839957604,29.077794754172487,False,
geometry_base+residual_dct_q25+tail_png,764,49393,50157,True,196608,6.1226806640625,3.919851665769484,-2296,camera,256,256,1799,0.3898360839957604,29.077794754172487,False,25
source_dct_q25+modular_png,4847,49627,54474,True,196608,6.649658203125,3.6092080625619563,2021,camera,256,256,1799,0.3898360839957604,29.077794754172487,,25
support_dct_q25+modular_png,4166,52404,56570,True,196608,6.905517578125,3.4754817040834363,4117,camera,256,256,1799,0.3898360839957604,29.077794754172487,,25
geometry_base+residual_dct_q50+tail_png,2056,48395,50451,True,196608,6.1585693359375,3.897008979009336,-2002,camera,256,256,1799,0.3898360839957604,29.077794754172487,False,50
source_dct_q50+modular_png,7732,46317,54049,True,196608,6.5977783203125,3.637588114488705,1596,camera,256,256,1799,0.3898360839957604,29.077794754172487,,50
support_dct_q50+modular_png,6612,51622,58234,True,196608,7.108642578125,3.3761719957413194,5781,camera,256,256,1799,0.3898360839957604,29.077794754172487,,50
geometry_base+residual_dct_q75+tail_png,4370,46806,51176,True,196608,6.2470703125,3.8418008441456934,-1277,camera,256,256,1799,0.3898360839957604,29.077794754172487,False,75
source_dct_q75+modular_png,11782,42324,54106,True,196608,6.604736328125,3.6337559605219383,1653,camera,256,256,1799,0.3898360839957604,29.077794754172487,,75
support_dct_q75+modular_png,9864,50818,60682,True,196608,7.407470703125,3.2399723146896937,8229,camera,256,256,1799,0.3898360839957604,29.077794754172487,,75
geometry_base+residual_dct_q90+tail_png,10026,42566,52592,True,196608,6.419921875,3.738363249163371,139,camera,256,256,1799,0.3898360839957604,29.077794754172487,False,90
source_dct_q90+modular_png,19933,35546,55479,True,196608,6.7723388671875,3.5438273941491376,3026,camera,256,256,1799,0.3898360839957604,29.077794754172487,,90
support_dct_q90+modular_png,16479,50136,66615,True,196608,8.1317138671875,2.951407340689034,14162,camera,256,256,1799,0.3898360839957604,29.077794754172487,,90
source_png,85621,0,85621,True,131328,15.647112573099415,1.5338293175739597,0,coffee,256,171,1133,0.2618215419934131,27.685462652604393,,
support_png+modular_png,65955,81197,147152,True,131328,26.891812865497077,0.8924649342176797,61531,coffee,256,171,1133,0.2618215419934131,27.685462652604393,,
support_png+signed_png,65955,113194,179149,True,131328,32.73921783625731,0.7330657720668271,93528,coffee,256,171,1133,0.2618215419934131,27.685462652604393,,
source_finite_predictor,86820,0,86820,True,131328,15.866228070175438,1.5126468555632342,1199,coffee,256,171,1133,0.2618215419934131,27.685462652604393,,
support_finite+signed_finite,64939,112953,177892,True,131328,32.509502923976605,0.7382456771524296,92271,coffee,256,171,1133,0.2618215419934131,27.685462652604393,,
geometry_base+cell_residual,0,82367,82367,True,131328,15.052448830409357,1.5944249517403815,-3254,coffee,256,171,1133,0.2618215419934131,27.685462652604393,False,
geometry_base+residual_dct_q25+tail_png,653,82303,82956,True,131328,15.160087719298245,1.5831042962534356,-2665,coffee,256,171,1133,0.2618215419934131,27.685462652604393,False,25
source_dct_q25+modular_png,5812,89103,94915,True,131328,17.345577485380115,1.3836379918874784,9294,coffee,256,171,1133,0.2618215419934131,27.685462652604393,,25
support_dct_q25+modular_png,5226,90292,95518,True,131328,17.45577485380117,1.3749031596138948,9897,coffee,256,171,1133,0.2618215419934131,27.685462652604393,,25
geometry_base+residual_dct_q50+tail_png,1890,82094,83984,True,131328,15.347953216374268,1.5637264240807773,-1637,coffee,256,171,1133,0.2618215419934131,27.685462652604393,False,50
source_dct_q50+modular_png,9658,85200,94858,True,131328,17.33516081871345,1.3844694174450232,9237,coffee,256,171,1133,0.2618215419934131,27.685462652604393,,50
support_dct_q50+modular_png,8429,88904,97333,True,131328,17.787463450292396,1.3492648947427903,11712,coffee,256,171,1133,0.2618215419934131,27.685462652604393,,50
geometry_base+residual_dct_q75+tail_png,4348,81538,85886,True,131328,15.695540935672515,1.5290967095917845,265,coffee,256,171,1133,0.2618215419934131,27.685462652604393,False,75
source_dct_q75+modular_png,15144,80556,95700,True,131328,17.489035087719298,1.3722884012539185,10079,coffee,256,171,1133,0.2618215419934131,27.685462652604393,,75
support_dct_q75+modular_png,13049,87182,100231,True,131328,18.317068713450293,1.3102533148427133,14610,coffee,256,171,1133,0.2618215419934131,27.685462652604393,,75
geometry_base+residual_dct_q90+tail_png,10787,78367,89154,True,131328,16.292763157894736,1.473046638400969,3533,coffee,256,171,1133,0.2618215419934131,27.685462652604393,False,90
source_dct_q90+modular_png,26374,72818,99192,True,131328,18.12719298245614,1.3239777401403339,13571,coffee,256,171,1133,0.2618215419934131,27.685462652604393,,90
support_dct_q90+modular_png,22663,85495,108158,True,131328,19.765716374269005,1.214223635792082,22537,coffee,256,171,1133,0.2618215419934131,27.685462652604393,,90
source_png,115452,0,115452,True,196608,14.09326171875,1.7029414821744102,0,astronaut,256,256,1534,0.44990325000253506,26.702416671504814,,
support_png+modular_png,93982,113483,207465,True,196608,25.3253173828125,0.9476682813968621,92013,astronaut,256,256,1534,0.44990325000253506,26.702416671504814,,
support_png+signed_png,93982,157007,250989,True,196608,30.6383056640625,0.7833331341214157,135537,astronaut,256,256,1534,0.44990325000253506,26.702416671504814,,
source_finite_predictor,115530,0,115530,True,196608,14.102783203125,1.7017917424045703,78,astronaut,256,256,1534,0.44990325000253506,26.702416671504814,,
support_finite+signed_finite,95160,152970,248130,True,196608,30.289306640625,0.7923588441542739,132678,astronaut,256,256,1534,0.44990325000253506,26.702416671504814,,
geometry_base+cell_residual,0,116926,116926,True,196608,14.273193359375,1.6814737526298684,1474,astronaut,256,256,1534,0.44990325000253506,26.702416671504814,False,
geometry_base+residual_dct_q25+tail_png,1412,114084,115496,True,196608,14.0986328125,1.7022927200942024,44,astronaut,256,256,1534,0.44990325000253506,26.702416671504814,False,25
source_dct_q25+modular_png,9564,117781,127345,True,196608,15.5450439453125,1.5439004279712591,11893,astronaut,256,256,1534,0.44990325000253506,26.702416671504814,,25
support_dct_q25+modular_png,8716,120330,129046,True,196608,15.752685546875,1.5235497419524822,13594,astronaut,256,256,1534,0.44990325000253506,26.702416671504814,,25
geometry_base+residual_dct_q50+tail_png,3476,112906,116382,True,196608,14.206787109375,1.6893334020724855,930,astronaut,256,256,1534,0.44990325000253506,26.702416671504814,False,50
source_dct_q50+modular_png,14613,113367,127980,True,196608,15.62255859375,1.5362400375058602,12528,astronaut,256,256,1534,0.44990325000253506,26.702416671504814,,50
support_dct_q50+modular_png,13285,120486,133771,True,196608,16.3294677734375,1.4697355929162523,18319,astronaut,256,256,1534,0.44990325000253506,26.702416671504814,,50
geometry_base+residual_dct_q75+tail_png,7055,110010,117065,True,196608,14.2901611328125,1.6794772135138598,1613,astronaut,256,256,1534,0.44990325000253506,26.702416671504814,False,75
source_dct_q75+modular_png,21415,106259,127674,True,196608,15.585205078125,1.5399219888152638,12222,astronaut,256,256,1534,0.44990325000253506,26.702416671504814,,75
support_dct_q75+modular_png,19791,119949,139740,True,196608,17.05810546875,1.4069557750107342,24288,astronaut,256,256,1534,0.44990325000253506,26.702416671504814,,75
geometry_base+residual_dct_q90+tail_png,15626,103623,119249,True,196608,14.5567626953125,1.6487182282451005,3797,astronaut,256,256,1534,0.44990325000253506,26.702416671504814,False,90
source_dct_q90+modular_png,34899,94339,129238,True,196608,15.776123046875,1.5212863089803308,13786,astronaut,256,256,1534,0.44990325000253506,26.702416671504814,,90
support_dct_q90+modular_png,33069,119520,152589,True,196608,18.6265869140625,1.2884808210290388,37137,astronaut,256,256,1534,0.44990325000253506,26.702416671504814,,90
