method,base_bytes,correction_bytes,total_bytes,exact,raw_bytes,bits_per_pixel,ratio_to_raw,delta_vs_source_png,delta_vs_best_direct,image,width,height,cells,representation_seconds,psnr,geometry_bytes_included,sites,selection,quality
source_png,75152,0,75152,True,442368,4.077256944444445,5.886310410900575,0,1276,pikachu,384,384,821,1.382549875008408,27.573355008403997,,,,
source_standard_png,73876,0,73876,True,442368,4.008029513888889,5.987979858140668,-1276,0,pikachu,384,384,821,1.382549875008408,27.573355008403997,,,,
support_png+modular_png,61218,83194,144412,True,442368,7.834852430555555,3.06323574218209,69260,70536,pikachu,384,384,821,1.382549875008408,27.573355008403997,,,,
support_standard_png+modular_standard_png,60710,81244,141954,True,442368,7.701497395833333,3.116277103850543,66802,68078,pikachu,384,384,821,1.382549875008408,27.573355008403997,,,,
support_png+signed_png,61218,116824,178042,True,442368,9.65939670138889,2.4846272227901283,102890,104166,pikachu,384,384,821,1.382549875008408,27.573355008403997,,,,
source_finite_predictor,75139,0,75139,True,442368,4.076551649305555,5.88732881725868,-13,1263,pikachu,384,384,821,1.382549875008408,27.573355008403997,,,,
support_finite+signed_finite,60431,110842,171273,True,442368,9.292154947916666,2.582823912700776,96121,97397,pikachu,384,384,821,1.382549875008408,27.573355008403997,,,,
geometry_base+cell_residual,0,79447,79447,True,442368,4.310275607638889,5.568089418102635,4295,5571,pikachu,384,384,821,1.382549875008408,27.573355008403997,False,,,
compact_geometry_16+cell_residual,138,84882,85020,True,442368,4.612630208333333,5.203105151729005,9868,11144,pikachu,384,384,821,1.382549875008408,27.573355008403997,True,16,mass,
geometry_base+residual_dct_q25+tail_png,2053,90462,92515,True,442368,5.019259982638889,4.781581365184024,17363,18639,pikachu,384,384,821,1.382549875008408,27.573355008403997,False,,,25
source_dct_q25+modular_png,8410,92656,101066,True,442368,5.483181423611111,4.377020956602616,25914,27190,pikachu,384,384,821,1.382549875008408,27.573355008403997,,,,25
support_dct_q25+modular_png,8366,98221,106587,True,442368,5.78271484375,4.150299755129613,31435,32711,pikachu,384,384,821,1.382549875008408,27.573355008403997,,,,25
geometry_base+residual_dct_q50+tail_png,4073,91767,95840,True,442368,5.199652777777778,4.615692821368948,20688,21964,pikachu,384,384,821,1.382549875008408,27.573355008403997,False,,,50
source_dct_q50+modular_png,12700,90932,103632,True,442368,5.622395833333333,4.268642890226957,28480,29756,pikachu,384,384,821,1.382549875008408,27.573355008403997,,,,50
support_dct_q50+modular_png,12879,100553,113432,True,442368,6.154079861111111,3.899851893645532,38280,39556,pikachu,384,384,821,1.382549875008408,27.573355008403997,,,,50
geometry_base+residual_dct_q75+tail_png,7393,92270,99663,True,442368,5.407063802083333,4.4386382107702955,24511,25787,pikachu,384,384,821,1.382549875008408,27.573355008403997,False,,,75
source_dct_q75+modular_png,18021,85037,103058,True,442368,5.591254340277778,4.292417861786567,27906,29182,pikachu,384,384,821,1.382549875008408,27.573355008403997,,,,75
support_dct_q75+modular_png,18674,101714,120388,True,442368,6.531467013888889,3.6745190550553213,45236,46512,pikachu,384,384,821,1.382549875008408,27.573355008403997,,,,75
source_png,113763,0,113763,True,442368,6.172037760416667,3.888505049972311,0,1340,camera,384,384,4415,1.260821207994013,29.93724905367302,,,,
source_standard_png,123604,0,123604,True,442368,6.705946180555555,3.578913303776577,9841,11181,camera,384,384,4415,1.260821207994013,29.93724905367302,,,,
support_png+modular_png,85280,106383,191663,True,442368,10.398383246527779,2.3080511105429844,77900,79240,camera,384,384,4415,1.260821207994013,29.93724905367302,,,,
support_standard_png+modular_standard_png,90310,114140,204450,True,442368,11.092122395833334,2.1636977256052825,90687,92027,camera,384,384,4415,1.260821207994013,29.93724905367302,,,,
support_png+signed_png,85280,132144,217424,True,442368,11.796006944444445,2.034586798145559,103661,105001,camera,384,384,4415,1.260821207994013,29.93724905367302,,,,
source_finite_predictor,112423,0,112423,True,442368,6.099338107638889,3.934853188404508,-1340,0,camera,384,384,4415,1.260821207994013,29.93724905367302,,,,
support_finite+signed_finite,83240,132485,215725,True,442368,11.70383029513889,2.05061073125507,101962,103302,camera,384,384,4415,1.260821207994013,29.93724905367302,,,,
geometry_base+cell_residual,0,91985,91985,True,442368,4.990505642361111,4.809131923683209,-21778,-20438,camera,384,384,4415,1.260821207994013,29.93724905367302,False,,,
compact_geometry_12+cell_residual,108,91435,91543,True,442368,4.966525607638889,4.832352009438187,-22220,-20880,camera,384,384,4415,1.260821207994013,29.93724905367302,True,12,farthest,
geometry_base+residual_dct_q25+tail_png,1325,108012,109337,True,442368,5.931911892361111,4.045913094377933,-4426,-3086,camera,384,384,4415,1.260821207994013,29.93724905367302,False,,,25
source_dct_q25+modular_png,9459,108397,117856,True,442368,6.394097222222222,3.7534618517512897,4093,5433,camera,384,384,4415,1.260821207994013,29.93724905367302,,,,25
support_dct_q25+modular_png,8183,113153,121336,True,442368,6.582899305555555,3.6458099821981933,7573,8913,camera,384,384,4415,1.260821207994013,29.93724905367302,,,,25
geometry_base+residual_dct_q50+tail_png,3968,105833,109801,True,442368,5.957085503472222,4.028815766705221,-3962,-2622,camera,384,384,4415,1.260821207994013,29.93724905367302,False,,,50
source_dct_q50+modular_png,15409,101090,116499,True,442368,6.320475260416667,3.797182808436124,2736,4076,camera,384,384,4415,1.260821207994013,29.93724905367302,,,,50
support_dct_q50+modular_png,13085,111565,124650,True,442368,6.7626953125,3.5488808664259928,10887,12227,camera,384,384,4415,1.260821207994013,29.93724905367302,,,,50
geometry_base+residual_dct_q75+tail_png,8845,102223,111068,True,442368,6.025824652777778,3.982857348651277,-2695,-1355,camera,384,384,4415,1.260821207994013,29.93724905367302,False,,,75
source_dct_q75+modular_png,23720,92871,116591,True,442368,6.325466579861111,3.794186515254179,2828,4168,camera,384,384,4415,1.260821207994013,29.93724905367302,,,,75
support_dct_q75+modular_png,19851,109968,129819,True,442368,7.043131510416667,3.4075751623414137,16056,17396,camera,384,384,4415,1.260821207994013,29.93724905367302,,,,75
source_png,189214,0,189214,True,294912,15.398274739583334,1.5586161700508419,0,5189,coffee,384,256,2425,0.6374495839991141,27.974892267156616,,,,
source_standard_png,184025,0,184025,True,294912,14.975992838541666,1.6025648689036815,-5189,0,coffee,384,256,2425,0.6374495839991141,27.974892267156616,,,,
support_png+modular_png,138700,178714,317414,True,294912,25.831217447916668,0.9291083569092731,128200,133389,coffee,384,256,2425,0.6374495839991141,27.974892267156616,,,,
support_standard_png+modular_standard_png,136468,172576,309044,True,294912,25.150065104166668,0.954271883615278,119830,125019,coffee,384,256,2425,0.6374495839991141,27.974892267156616,,,,
support_png+signed_png,138700,249912,388612,True,294912,31.625325520833332,0.7588854693112925,199398,204587,coffee,384,256,2425,0.6374495839991141,27.974892267156616,,,,
source_finite_predictor,191609,0,191609,True,294912,15.593180338541666,1.5391343830404627,2395,7584,coffee,384,256,2425,0.6374495839991141,27.974892267156616,,,,
support_finite+signed_finite,137543,251946,389489,True,294912,31.696695963541668,0.7571767110239314,200275,205464,coffee,384,256,2425,0.6374495839991141,27.974892267156616,,,,
geometry_base+cell_residual,0,181707,181707,True,294912,14.787353515625,1.6230084696792089,-7507,-2318,coffee,384,256,2425,0.6374495839991141,27.974892267156616,False,,,
compact_geometry_4+cell_residual,51,198798,198849,True,294912,16.182373046875,1.4830952129505304,9635,14824,coffee,384,256,2425,0.6374495839991141,27.974892267156616,True,4,farthest,
