model,train_fraction,parameters,val_mean,first_bin_mean,frontier5_mean,frontier5_std,tail_mean,survival_mean,survival_max
query_only,0.5,2212,0.8021874999999999,0.020399999999999998,0.00824,0.002611972434770321,0.49926000000000004,0.0,0
memory1,0.5,2213,0.9896874999999999,0.4412,0.11495999999999999,0.05589281170240053,0.47008,0.0,0
memory2,0.5,2214,0.991875,0.4351999999999999,0.09784,0.038517819252912026,0.47569999999999996,0.0,0
memory3,0.5,2215,0.9934375,0.47800000000000004,0.11864,0.038979461258462765,0.4571600000000001,0.0,0
memory3_shuffled,0.5,2215,0.9415625000000001,0.3932,0.2628,0.18931370790304647,0.48226,0.0,0
query_only,0.3,2212,0.9946875000000001,0.1016,0.26768000000000003,0.006841754161032094,0.45686,0.0,0
memory1,0.3,2213,0.9990625,0.3872,0.23336,0.024944867207503846,0.44776,0.0,0
memory2,0.3,2214,0.9996875,0.3176,0.23808,0.02769825987314005,0.44934,0.0,0
memory3,0.3,2215,0.9996875,0.46719999999999995,0.26864,0.020171425333872665,0.45600000000000007,0.0,0
memory3_shuffled,0.3,2215,0.99875,0.48600000000000004,0.25272,0.027154550263261582,0.45236,0.0,0
