model,train_fraction,parameters,val_mean,frontier5_mean,frontier5_std,tail_mean,survival_mean,survival_max
dense,0.5,2498,0.9996875,0.029199999999999997,0.010730144453827263,0.49786,0.0,0
atlas_identity,0.5,5538,0.9996875,0.039279999999999995,0.009594665184361565,0.49151999999999996,0.0,0
atlas_isotropic,0.5,5538,0.9996875,0.03,0.009219110586168278,0.4946,0.0,0
atlas_eikonal,0.5,5538,0.9996875,0.03024,0.00912350809721787,0.4901000000000001,0.0,0
atlas_shuffled,0.5,5538,0.9996875,0.032080000000000004,0.008713759234681664,0.49218,0.0,0
dense,0.3,2498,0.9996875,0.26871999999999996,0.006728565969060587,0.45709999999999995,0.0,0
atlas_identity,0.3,5538,0.9996875,0.26728,0.004633098315382474,0.4578399999999999,0.0,0
atlas_isotropic,0.3,5538,1.0,0.26584,0.004777279560586765,0.4570600000000001,0.0,0
atlas_eikonal,0.3,5538,1.0,0.26775999999999994,0.009406721001496747,0.45696000000000003,0.0,0
atlas_shuffled,0.3,5538,0.9996875,0.26824,0.00905308787099738,0.45738,0.0,0
