model,train_fraction,parameters,val_mean,frontier5_mean,frontier5_std,tail_mean,survival_mean,survival_max
dense,0.5,2498,0.9996875,0.02952,0.012715722551235539,0.49746000000000007,0.0,0
jet_direct,0.5,12712,0.9996875,0.02984,0.010548478563281057,0.4938199999999999,0.0,0
jet_secant,0.5,12712,0.9996875,0.0344,0.008166272099311903,0.49328000000000005,0.0,0
jet_transport,0.5,12712,0.9981249999999999,0.07487999999999999,0.036572689263984944,0.48656,0.0,0
jet_shuffled,0.5,12712,0.9996875,0.08688,0.042668883275754944,0.46512000000000003,0.0,0
dense,0.3,2498,0.9996875,0.27024000000000004,0.006856704747909137,0.45810000000000006,0.0,0
jet_direct,0.3,12712,0.9996875,0.25,0.004602607956365601,0.4530200000000001,0.0,0
jet_secant,0.3,12712,0.9996875,0.24663999999999997,0.009433896331845078,0.45052000000000003,0.0,0
jet_transport,0.3,12712,0.9996875,0.23032,0.017815768296652268,0.4468599999999999,0.0,0
jet_shuffled,0.3,12712,0.9996875,0.31808,0.17708707914469646,0.46802,0.0,0
