model,train_fraction,parameters,val_mean,first_bin_mean,frontier5_mean,frontier5_std,tail_mean,survival_mean,survival_max,effective_labels
global_affine,0.5,326,0.9371875,0.018,0.0036000000000000003,0.0018242806801586208,0.49243999999999993,0.0,0,0.9999999999989999
positional,0.5,530,0.999375,0.26239999999999997,0.05247999999999999,0.02724866235248989,0.48552,0.0,0,6.679681301391653
projective_diagonal,0.5,513,0.9996875,0.3936,0.07872,0.026233901730394586,0.47338,0.0,0,7.823406472555542
projective_shuffled,0.5,513,0.9181250000000001,0.0232,0.00464,0.0022712111306525426,0.49416000000000004,0.0,0,4.97826904204793
projective,0.5,513,0.999375,0.21639999999999998,0.04328,0.01595273017386052,0.48952,0.0,0,6.734629711257038
global_affine,0.3,326,0.9962500000000001,0.9948,0.38120000000000004,0.027155257317874947,0.46526000000000006,1.4,2,0.9999999999989999
positional,0.3,530,0.999375,0.5608,0.39736000000000005,0.06817042173846366,0.47802,0.0,0,7.173189324452002
projective_diagonal,0.3,513,0.9996875,0.44159999999999994,0.24024,0.016653840397938262,0.44934,0.0,0,7.868922001079952
projective_shuffled,0.3,513,0.99375,0.7332,0.23056000000000001,0.031022675577712516,0.44456000000000007,0.4,1,7.988659368550695
projective,0.3,513,0.9996875,0.3604,0.24359999999999998,0.016371682870126702,0.44871999999999995,0.0,0,7.919742819084497
