task,width,model,parameters,score,learning_auc,seconds,steps_to_80,steps_to_90,accuracy,normalized_mse,tail_score,tail_survival,jacobian_variability,base_only_drop,uniform_drop,mismatched_drop,up_allocation_variation,down_allocation_variation,up_correction_ratio,down_correction_ratio
checkerboard,16,matched_affine,2294,0.4973333279291789,0.49775332423111346,0.4520928056666662,,,0.4973333477973938,,0.4096666668852171,0.0,1.159090009158111e-08,,,,,,,
checkerboard,16,soft_eikonal,2294,0.458777775367101,0.8386561661524077,3.8837213473333336,216.66666666666666,358.3333333333333,0.458777775367101,,0.38955555607875186,0.0,7.112899939219157,0.44448427607615787,0.4379583882788817,0.4513864765564601,0.1507704903682073,0.14258266488711038,0.25390083094437915,1.249003012975057
checkerboard,36,matched_affine,7814,0.5118888815244039,0.4974278182275884,0.5086852219999992,,,0.5118888815244039,,0.4605555564165115,0.0,5.0382297445139557e-08,,,,,,,
checkerboard,36,soft_eikonal,7814,0.4448888897895813,0.8512859519889268,4.0946517920000005,216.66666666666666,291.6666666666667,0.4448888798554738,,0.34211111317078274,0.0,7.146282315254211,0.43754864608248073,0.45031675199667615,0.4450387507677078,0.10394079983234406,0.17196581761042276,0.12335696319739024,1.174380938212077
chirp_1d,16,matched_affine,2261,0.46451074517742375,0.49672715711348525,0.2299925276666658,,,,1.1528462966283162,0.46553548053581184,,3.693532117191959e-08,,,,,,,
chirp_1d,16,soft_eikonal,2261,0.33843647855224335,0.8904849026081858,3.939930124666668,100.0,141.66666666666666,,2.0506927967071533,0.2380400737318349,,5.300478259722392,0.5714614383738394,0.5430199649036003,0.6480840244079217,0.08219290897250175,0.10061101863781612,0.11068618670105934,0.42055221398671466
chirp_1d,36,matched_affine,7741,0.4655529162501993,0.496434682830337,0.30127801399999754,,,,1.1480488379796345,0.4665311455059988,,2.0398047695380228e-08,,,,,,,
chirp_1d,36,soft_eikonal,7741,0.3072677041093385,0.9085865970440388,4.117316152666665,75.0,141.66666666666666,,2.2690532207489014,0.18875173900505415,,6.888183315594991,0.5731915297001299,0.5269725537356941,0.6615854077625983,0.1024952878554662,0.10506530354420344,0.09057493756214778,0.3660990695158641
complex_spiral_3d,16,matched_affine,2295,0.06417880138950272,0.6002659998937451,0.22646636133335582,,,,14.583344459533691,0.09373053085626697,,2.5540622949904446e-08,,,,,,,
complex_spiral_3d,16,soft_eikonal,2295,0.03314813402668657,0.8735621460232358,3.848485986333325,225.0,275.0,,32.037054697672524,0.056041111507650954,,3.0904951095581055,0.6464314417742643,0.5687773244366228,0.6670730439376035,0.11136007805665334,0.10189783573150635,0.12901408970355988,0.5987717509269714
complex_spiral_3d,36,matched_affine,7815,0.06410192008815747,0.6001750910424031,0.3594057220000006,,,,14.603212038675943,0.09372244220743396,,1.1930948673466446e-08,,,,,,,
complex_spiral_3d,36,soft_eikonal,7815,0.020290283404103045,0.8861764406060916,4.033647847666657,225.0,258.3333333333333,,177.01141548156738,0.05345924093673198,,3.4000209172566733,0.6471150117291717,0.5847977616396075,0.7060527744519115,0.1050032302737236,0.12361876169840495,0.13173957665761313,0.5227594971656799
fourier_mix_1d,16,matched_affine,2261,0.261453339042695,0.6621339356318527,0.23600902800000276,,,,2.828709840774536,0.16382872404208607,,4.9271865994645246e-08,,,,,,,
fourier_mix_1d,16,soft_eikonal,2261,0.40970711478090344,0.9251806976184566,3.9216393473333304,83.33333333333333,158.33333333333334,,2.141088604927063,0.28643038499590573,,10.33894689877828,0.38229726159383065,0.38984401532410917,0.5305747455700338,0.10705460111300151,0.15180536483724913,0.13838563859462738,0.4347357451915741
fourier_mix_1d,36,matched_affine,7741,0.2658968114027056,0.660951658450462,0.29447754166666584,,,,2.7633213996887207,0.16734532617538922,,2.4680716137481795e-08,,,,,,,
fourier_mix_1d,36,soft_eikonal,7741,0.4122023651080527,0.9443787094497816,4.127065707999999,83.33333333333333,125.0,,1.57905113697052,0.27719638276604525,,2.9839457670847573,0.34925874620618186,0.3030366030059701,0.5025862294327347,0.12506110221147537,0.15374833593765894,0.11570905894041061,0.39342660705248517
hyperchecker,16,matched_affine,2422,0.5162356918056806,0.5000639468144316,0.4783587079999734,,,0.5138888955116272,,,,8.750303948090732e-08,,,,,,,
hyperchecker,16,soft_eikonal,2422,0.5203624417384466,0.5000519582753381,4.188340347333319,,,0.5194444457689921,,,,2.122555752595266,0.003489762544631958,0.011400495966275534,0.010623743136723837,0.1218914935986201,0.056851317485173546,0.24349948267141977,0.20740944147109985
hyperchecker,36,matched_affine,8102,0.5164175430933634,0.5006724794092589,0.5197220416666445,,,0.5163333415985107,,,,9.25617236191556e-08,,,,,,,
hyperchecker,36,soft_eikonal,8102,0.5181450893481573,0.5024554439199468,4.431602944333349,,,0.5171111027399699,,,,3.0000226696332297,0.00899160405000051,0.009855752189954122,0.01344450811545054,0.11741681148608525,0.11135060215989749,0.180173526207606,0.3646650016307831
localized_steps_1d,16,matched_affine,2261,0.6033246172362738,0.5496829130971795,0.23341673599999999,,,,0.6575040419896444,0.6958940365285354,,3.710891623616893e-08,,,,,,,
localized_steps_1d,16,soft_eikonal,2261,0.9540704205198334,0.9652575089987284,3.932255596999999,66.66666666666667,91.66666666666667,,0.05039000619823734,0.9085671726928434,,1.9809387028217316,0.4895286454656089,0.4340626976338382,0.5031900631477016,0.09412477537989616,0.09269769117236137,0.12762344628572464,0.34382115801175434
localized_steps_1d,36,matched_affine,7741,0.6033764242956043,0.5487311726177154,0.29701738899999697,,,,0.6573885679244995,0.6959714071556298,,0.0,,,,,,,
localized_steps_1d,36,soft_eikonal,7741,0.9736703885881614,0.9720892326035706,4.111521708000001,50.0,75.0,,0.02786886125492553,0.9458612794713236,,1.8252501090367634,0.3483891377415791,0.4185456998550956,0.43162857011440786,0.08934854219357173,0.045237467934687935,0.09618371973435084,0.23275182644526163
lorenz_lobes,16,matched_affine,2294,1.0,0.9939151152161262,0.45501450033332463,9.0,25.0,1.0,,,,0.0,,,,,,,
lorenz_lobes,16,soft_eikonal,2294,1.0,0.9892384938833615,4.01539376366667,25.0,25.0,1.0,,,,0.23090060551961264,0.0026797552903493247,0.0006517469882965088,0.002307941516240438,0.04721709589163462,0.05435329178969065,0.0709867278734843,0.03804433966676394
lorenz_lobes,36,matched_affine,7814,1.0,0.9955417846764129,0.5150238613333329,1.0,1.0,1.0,,,,2.6675527934708992e-08,,,,,,,
lorenz_lobes,36,soft_eikonal,7814,1.0,0.991359565332532,4.239212430333339,25.0,25.0,1.0,,,,0.2981984366973241,0.00048021475474039715,0.0005040367444356283,0.0013473927974700928,0.04370169093211492,0.05314763511220614,0.04613578195373217,0.029763702303171158
multiscale_1d,16,matched_affine,2261,0.536162878220495,0.49582852659600385,0.23961247200000035,,,,0.8651662270228068,0.6718637988269537,,3.762495974039363e-08,,,,,,,
multiscale_1d,16,soft_eikonal,2261,0.25978323548564425,0.9082730725085598,3.997476055666667,75.0,216.66666666666666,,3.2373738288879395,0.2983266435788958,,17.033785581588745,0.40076575611517007,0.44548846138935433,0.6542532386499953,0.11219272390007973,0.10997214168310165,0.12320630500713985,0.42389654119809467
multiscale_1d,36,matched_affine,7741,0.5370188290869408,0.49552987456279357,0.3144819166666662,,,,0.8623979290326437,0.6729990137880315,,3.9274797340264435e-08,,,,,,,
multiscale_1d,36,soft_eikonal,7741,0.2776074332726256,0.9272217058634871,4.136782666666667,75.0,191.66666666666666,,2.779319961865743,0.3281778231470018,,2.5361189047495523,0.37999216565569355,0.36075110842655134,0.5464661442103447,0.09702440227071445,0.18034324049949646,0.06104396531979243,0.40819478034973145
periodic_nd,16,matched_affine,2373,0.5046455647848322,0.500603680458391,0.2401771943333415,,,,0.9816487828890482,,,5.284319234040898e-08,,,,,,,
periodic_nd,16,soft_eikonal,2373,0.5941537557576683,0.5698167100377419,4.024866013666667,,,,0.6845542987187704,,,3.816807428995768,0.08611824732731353,0.06278761880428323,0.10847956584065453,0.11514120052258174,0.07527074217796326,0.14323090513547262,0.47820718089739483
periodic_nd,36,matched_affine,7993,0.5049341507597042,0.5017344727867157,0.3748484303333157,,,,0.9805034200350443,,,3.761887927093236e-08,,,,,,,
periodic_nd,36,soft_eikonal,7993,0.5885259024540357,0.5702757041558124,4.226632041666657,,,,0.6996461947758993,,,3.4268964926401773,0.07245501748914575,0.04421184573138633,0.09079290615897938,0.13115626573562622,0.10669885575771332,0.11486651500066121,0.5431001583735148
periodic_wells,16,matched_affine,2277,0.5012234323586804,0.4983970545613931,0.2336387919999936,,,,0.9957227309544882,,,1.0790491463315751e-08,,,,,,,
periodic_wells,16,soft_eikonal,2277,0.992065252423545,0.8799976010821345,3.9206982083333535,191.66666666666666,241.66666666666666,,0.0079996717783312,,,3.505354642868042,0.7025534634241595,0.7321455995208765,0.826241632406429,0.11614610254764557,0.08478160699208577,0.14974186569452286,0.48653292655944824
periodic_wells,36,matched_affine,7777,0.5012022196710647,0.4933636064234306,0.35533072233334906,,,,0.9957882563273112,,,4.355723011902531e-08,,,,,,,
periodic_wells,36,soft_eikonal,7777,0.9948174228393807,0.9089738393914728,4.141155263999981,150.0,183.33333333333334,,0.0052129710869242745,,,3.4839014212290444,0.6641247008372265,0.7000360050881321,0.7574989820129568,0.08559747909506162,0.08440693964560826,0.10302540163199107,0.447037676970164
pinwheel,16,matched_affine,2345,0.8723159472147625,0.8575027012278637,0.4484929863333302,25.0,,0.8724848429361979,,,,4.39885946927158e-08,,,,,,,
pinwheel,16,soft_eikonal,2345,1.0,0.9692331167769929,3.935811124666671,41.666666666666664,91.66666666666667,1.0,,,,1.0303720235824585,0.182935239871343,0.17412058512369796,0.24920860131581626,0.13798159112532934,0.16136576731999716,0.2107828458150228,0.31171156962712604
pinwheel,36,matched_affine,7925,0.8721876899401346,0.8579865096931657,0.5079134026666688,25.0,,0.8722424308458964,,,,2.2267069965664632e-08,,,,,,,
pinwheel,36,soft_eikonal,7925,1.0,0.9795025502343973,4.151530361333333,25.0,75.0,1.0,,,,1.000329315662384,0.13709143797556564,0.11577410499254863,0.24795647859573366,0.09480736901362737,0.16379930327335993,0.11541136354207993,0.3842019538084666
radial_stripes,16,matched_affine,2294,0.5186147913336754,0.5004632774912655,0.45617449999999354,,,0.5209523638089498,,,,5.311190420798084e-08,,,,,,,
radial_stripes,16,soft_eikonal,2294,0.6470443159341812,0.5214183136514232,3.9933186250000006,,,0.647428572177887,,,,3.432236909866333,0.14694955199956894,0.14694292346636453,0.1506955474615097,0.12188918640216191,0.13548855980237326,0.2648911674817403,1.119971752166748
radial_stripes,36,matched_affine,7814,0.5229973482588927,0.5024128912161056,0.5160660283333319,,,0.5240000089009603,,,,5.623657154766685e-08,,,,,,,
radial_stripes,36,soft_eikonal,7814,0.8047048846880595,0.5766776738965079,4.209293736333336,650.0,,0.8045714100201925,,,,5.981818596522014,0.29402325054009754,0.2859622960289319,0.3008374174435933,0.1084174116452535,0.15343785285949707,0.07523344457149506,1.8686203956604004
ring_sdf,16,matched_affine,2277,0.4976554879933628,0.4954276345029182,0.23132348600000796,,,,1.0094891389211018,,,5.055521038836256e-08,,,,,,,
ring_sdf,16,soft_eikonal,2277,0.999957358205164,0.9812025734014349,3.908369361000022,41.666666666666664,50.0,,4.2643712125330545e-05,,,13.903353134791056,0.10680424679922522,0.08995739783905161,0.08468334649022598,0.04556340848406156,0.06726061925292015,0.054791981975237526,0.26823889712492627
ring_sdf,36,matched_affine,7777,0.4973753053198749,0.4915447868308865,0.3641014306666648,,,,1.0106267929077148,,,5.2429786734364825e-08,,,,,,,
ring_sdf,36,soft_eikonal,7777,0.999947069283227,0.988513886811666,4.1265848610000075,25.0,25.0,,5.293390010289537e-05,,,12.78080415725708,0.0252533841720739,0.02595753329495243,0.031036110962609793,0.037302872786919274,0.04621605947613716,0.06212892631689707,0.16749934603770575
ripple,16,matched_affine,2277,0.5048911461917897,0.5019721209531388,0.2438167640000112,,,,0.9808096090952555,,,3.8246817268827726e-08,,,,,,,
ripple,16,soft_eikonal,2277,0.9289050102876536,0.7475777939346231,3.9181848470000014,400.0,608.3333333333334,,0.07660301774740219,,,6.685952345530192,0.5977935650231451,0.5766184072050226,0.7611874366256073,0.14259029428164163,0.13496394952138266,0.19860981901486716,0.7853132088979086
ripple,36,matched_affine,7777,0.504903144322911,0.4960657973730022,0.35361241600001375,,,,0.9807645082473755,,,3.7154959405446185e-08,,,,,,,
ripple,36,soft_eikonal,7777,0.9602211070225574,0.7612110149362868,4.1305745553333395,366.6666666666667,516.6666666666666,,0.04146469756960869,,,4.358101844787598,0.6027426563334888,0.6186364738746233,0.7758548187475465,0.1273223136862119,0.1361957142750422,0.137417862812678,0.7507249116897583
sinusoid_bounds,16,matched_affine,2294,0.5806791136662165,0.5248830377423049,0.451906763666661,,,0.5822857220967611,,,,4.502652325063158e-08,,,,,,,
sinusoid_bounds,16,soft_eikonal,2294,0.9899531503518423,0.9579350059852004,4.0467553333333415,50.0,58.333333333333336,0.9899047414461771,,,,11.03774905204773,0.15547823905944824,0.15101020534833273,0.1974395215511322,0.12006485958894093,0.13029490411281586,0.19953776399294534,0.4090210199356079
sinusoid_bounds,36,matched_affine,7814,0.5719244132439295,0.5228979918997114,0.5057258333333342,,,0.5739047527313232,,,,2.6808046153329695e-08,,,,,,,
sinusoid_bounds,36,soft_eikonal,7814,0.9885950982570648,0.963391509950161,4.2078168473333335,25.0,33.333333333333336,0.9885714252789816,,,,11.106650034586588,0.16189327836036682,0.14781007170677185,0.1638015409310659,0.09941364576419194,0.11954216659069061,0.13519943753878275,0.23847958942254385
spiral,16,matched_affine,2294,0.34416666626930237,0.6340777866976955,0.46069897200000015,,,0.34416667620340985,,0.35655555549698575,0.0,6.210865895657965e-08,,,,,,,
spiral,16,soft_eikonal,2294,0.3556666572888692,0.9206472974208494,3.8755910560000006,183.33333333333334,191.66666666666666,0.3556666672229767,,0.2958888887738188,0.0,9.597747643788656,0.42885272204875946,0.42084958652655285,0.4836488217115402,0.07331504176060359,0.13811325033505759,0.16966033230225244,1.65542471408844
spiral,36,matched_affine,7814,0.3441666712363561,0.6331442768685519,0.49785987533333326,,,0.34416667620340985,,0.35177777744829647,0.0,2.626151444455142e-08,,,,,,,
spiral,36,soft_eikonal,7814,0.3540000021457672,0.9284721249031523,4.026306680333334,158.33333333333334,175.0,0.3540000021457672,,0.318444445480903,0.0,1.9211876392364502,0.41356560339530307,0.39875732858975727,0.45290932555993396,0.07214660445849101,0.13318962355454764,0.13272684315840402,1.3651175300280254
swiss_cheese,16,matched_affine,2294,0.6212422748406728,0.5714654619122544,0.4562724580000008,,,0.6186666687329611,,,,3.094139877646285e-08,,,,,,,
swiss_cheese,16,soft_eikonal,2294,0.9872448841730753,0.9368004451940458,4.001638083333357,100.0,116.66666666666667,0.9870476126670837,,,,10.813537756601969,0.49434377373351407,0.4872448841730754,0.4657403826713562,0.15630155305067697,0.14284667124350867,0.25949903825918835,0.9418700536092123
swiss_cheese,36,matched_affine,7814,0.6289525677760442,0.5757878900319336,0.5157487223333325,,,0.6262856920560201,,,,3.118095944406226e-08,,,,,,,
swiss_cheese,36,soft_eikonal,7814,0.9873743851979574,0.9431640123544881,4.199878305333328,75.0,91.66666666666667,0.9874285459518433,,,,6.6400392055511475,0.47973623623450595,0.4660542840138078,0.4437253971894582,0.14503847310940424,0.13627309600512186,0.15181860824426016,0.7971896330515543
two_moons,16,matched_affine,2294,0.8940641184647878,0.8862519606699547,0.4467717639999928,17.0,,0.8943589528401693,,,,5.137973010012805e-08,,,,,,,
two_moons,16,soft_eikonal,2294,0.999737948179245,0.9806984193436802,3.918001027666667,33.333333333333336,58.333333333333336,0.9997435808181763,,,,1.0962566137313843,0.15431082248687744,0.11481987436612447,0.18967815240224203,0.09610133121411006,0.08273887261748314,0.23164438704649606,0.17201950152715048
two_moons,36,matched_affine,7814,0.8945863842964172,0.8872532599667707,0.521356277666662,17.0,,0.8948717912038168,,,,5.98629637712141e-08,,,,,,,
two_moons,36,soft_eikonal,7814,0.9997489949067434,0.9860228153380256,4.127040402333338,17.0,50.0,0.9997435808181763,,,,0.7736244996388754,0.11679632465044658,0.10458598534266154,0.1310004691282908,0.06912730758388837,0.08880312740802765,0.10617855191230774,0.2858400146166484
xor_quads,16,matched_affine,2294,0.647675022482872,0.4994881066445183,0.44944493033332833,,,0.648380974928538,,,,5.792908316000952e-08,,,,,,,
xor_quads,16,soft_eikonal,2294,0.997291217247645,0.9773647922960421,3.9774867773333256,25.0,58.333333333333336,0.9973333279291788,,,,6.008316993713379,0.03648891051610311,0.03185233473777771,0.08030520876248677,0.1131499782204628,0.08644332240025203,0.15324722727139792,0.09678671012322108
xor_quads,36,matched_affine,7814,0.6163018445173899,0.4807241766304166,0.5138842776666716,,,0.6118095318476359,,,,3.933625099724244e-08,,,,,,,
xor_quads,36,soft_eikonal,7814,0.9969376921653748,0.9823111164569855,4.213073250333338,25.0,25.0,0.9969523747762045,,,,5.69587516784668,0.004971812168757121,0.005349556605021159,0.007983694473902384,0.050270866602659225,0.051701237758000694,0.04527111475666364,0.06623370448748271
