task,width,parameters,affine_effective_dof,affine_fit,soft_fit,fit_advantage,affine_test,soft_test,affine_auc,soft_auc,affine_seconds,soft_seconds,affine_tail,soft_tail,base_only_drop,uniform_drop,mismatched_drop,affine_jacobian_variability,soft_jacobian_variability,soft_jacobian_change_rank,test_advantage,tail_advantage
spiral,16,2294,6,0.65401926,1,0.34598074,0.34416667,0.35566666,0.63407779,0.9206473,0.46069897,3.8755911,0.35655556,0.29588889,0.42885272,0.42084959,0.48364882,6.2108659e-08,9.5977476,4,0.011499991,-0.060666667
spiral,36,7814,6,0.65400357,1,0.34599643,0.34416667,0.354,0.63314428,0.92847212,0.49785988,4.0263067,0.35177778,0.31844445,0.4135656,0.39875733,0.45290933,2.6261514e-08,1.9211876,4,0.0098333309,-0.033333332
checkerboard,16,2294,6,0.53754586,0.96248104,0.42493518,0.49733333,0.45877778,0.49775332,0.83865617,0.45209281,3.8837213,0.40966667,0.38955556,0.44448428,0.43795839,0.45138648,1.15909e-08,7.1128999,4,-0.038555553,-0.020111111
checkerboard,36,7814,6,0.54055035,0.95703077,0.41648043,0.51188888,0.44488889,0.49742782,0.85128595,0.50868522,4.0946518,0.46055556,0.34211111,0.43754865,0.45031675,0.44503875,5.0382297e-08,7.1462823,4,-0.066999992,-0.11844444
two_moons,16,2294,6,0.89406412,0.99973795,0.10567383,0.89406412,0.99973795,0.88625196,0.98069842,0.44677176,3.918001,,,0.15431082,0.11481987,0.18967815,5.137973e-08,1.0962566,4,0.10567383,
two_moons,36,7814,6,0.89458638,0.99974899,0.10516261,0.89458638,0.99974899,0.88725326,0.98602282,0.52135628,4.1270404,,,0.11679632,0.10458599,0.13100047,5.9862964e-08,0.7736245,4,0.10516261,
pinwheel,16,2345,15,0.87231595,1,0.12768405,0.87231595,1,0.8575027,0.96923312,0.44849299,3.9358111,,,0.18293524,0.17412059,0.2492086,4.3988595e-08,1.030372,10,0.12768405,
pinwheel,36,7925,15,0.87218769,1,0.12781231,0.87218769,1,0.85798651,0.97950255,0.5079134,4.1515304,,,0.13709144,0.1157741,0.24795648,2.226707e-08,1.0003293,10,0.12781231,
xor_quads,16,2294,6,0.64767502,0.99729122,0.34961619,0.64767502,0.99729122,0.49948811,0.97736479,0.44944493,3.9774868,,,0.036488911,0.031852335,0.080305209,5.7929083e-08,6.008317,4,0.34961619,
xor_quads,36,7814,6,0.61630184,0.99693769,0.38063585,0.61630184,0.99693769,0.48072418,0.98231112,0.51388428,4.2130733,,,0.0049718122,0.0053495566,0.0079836945,3.9336251e-08,5.6958752,4,0.38063585,
sinusoid_bounds,16,2294,6,0.58067911,0.98995315,0.40927404,0.58067911,0.98995315,0.52488304,0.95793501,0.45190676,4.0467553,,,0.15547824,0.15101021,0.19743952,4.5026523e-08,11.037749,4,0.40927404,
sinusoid_bounds,36,7814,6,0.57192441,0.9885951,0.41667069,0.57192441,0.9885951,0.52289799,0.96339151,0.50572583,4.2078168,,,0.16189328,0.14781007,0.16380154,2.6808046e-08,11.10665,4,0.41667069,
radial_stripes,16,2294,6,0.51861479,0.64704432,0.12842952,0.51861479,0.64704432,0.50046328,0.52141831,0.4561745,3.9933186,,,0.14694955,0.14694292,0.15069555,5.3111904e-08,3.4322369,4,0.12842952,
radial_stripes,36,7814,6,0.52299735,0.80470488,0.28170754,0.52299735,0.80470488,0.50241289,0.57667767,0.51606603,4.2092937,,,0.29402325,0.2859623,0.30083742,5.6236572e-08,5.9818186,4,0.28170754,
swiss_cheese,16,2294,6,0.62124227,0.98724488,0.36600261,0.62124227,0.98724488,0.57146546,0.93680045,0.45627246,4.0016381,,,0.49434377,0.48724488,0.46574038,3.0941399e-08,10.813538,4,0.36600261,
swiss_cheese,36,7814,6,0.62895257,0.98737439,0.35842182,0.62895257,0.98737439,0.57578789,0.94316401,0.51574872,4.1998783,,,0.47973624,0.46605428,0.4437254,3.1180959e-08,6.6400392,4,0.35842182,
lorenz_lobes,16,2294,6,1,1,0,1,1,0.99391512,0.98923849,0.4550145,4.0153938,,,0.0026797553,0.00065174699,0.0023079415,0,0.23090061,4,0,
lorenz_lobes,36,7814,6,1,1,0,1,1,0.99554178,0.99135957,0.51502386,4.2392124,,,0.00048021475,0.00050403674,0.0013473928,2.6675528e-08,0.29819844,4,0,
periodic_wells,16,2277,3,0.50122343,0.99206525,0.49084182,0.50122343,0.99206525,0.49839705,0.8799976,0.23363879,3.9206982,,,0.70255346,0.7321456,0.82624163,1.0790491e-08,3.5053546,2,0.49084182,
periodic_wells,36,7777,3,0.50120222,0.99481742,0.4936152,0.50120222,0.99481742,0.49336361,0.90897384,0.35533072,4.1411553,,,0.6641247,0.70003601,0.75749898,4.355723e-08,3.4839014,2,0.4936152,
ripple,16,2277,3,0.50489115,0.92890501,0.42401386,0.50489115,0.92890501,0.50197212,0.74757779,0.24381676,3.9181848,,,0.59779357,0.57661841,0.76118744,3.8246817e-08,6.6859523,2,0.42401386,
ripple,36,7777,3,0.50490314,0.96022111,0.45531796,0.50490314,0.96022111,0.4960658,0.76121101,0.35361242,4.1305746,,,0.60274266,0.61863647,0.77585482,3.7154959e-08,4.3581018,2,0.45531796,
ring_sdf,16,2277,3,0.49765549,0.99995736,0.50230187,0.49765549,0.99995736,0.49542763,0.98120257,0.23132349,3.9083694,,,0.10680425,0.089957398,0.084683346,5.055521e-08,13.903353,2,0.50230187,
ring_sdf,36,7777,3,0.49737531,0.99994707,0.50257176,0.49737531,0.99994707,0.49154479,0.98851389,0.36410143,4.1265849,,,0.025253384,0.025957533,0.031036111,5.2429787e-08,12.780804,2,0.50257176,
complex_spiral_3d,16,2295,6,0.60366238,0.98405711,0.38039473,0.064178801,0.033148134,0.600266,0.87356215,0.22646636,3.848486,0.093730531,0.056041112,0.64643144,0.56877732,0.66707304,2.5540623e-08,3.0904951,3,-0.031030667,-0.037689419
complex_spiral_3d,36,7815,6,0.603654,0.98471969,0.38106569,0.06410192,0.020290283,0.60017509,0.88617644,0.35940572,4.0336478,0.093722442,0.053459241,0.64711501,0.58479776,0.70605277,1.1930949e-08,3.4000209,3,-0.043811637,-0.040263201
periodic_nd,16,2373,9,0.50464556,0.59415376,0.089508191,0.50464556,0.59415376,0.50060368,0.56981671,0.24017719,4.024866,,,0.086118247,0.062787619,0.10847957,5.2843192e-08,3.8168074,8,0.089508191,
periodic_nd,36,7993,9,0.50493415,0.5885259,0.083591752,0.50493415,0.5885259,0.50173447,0.5702757,0.37484843,4.226632,,,0.072455017,0.044211846,0.090792906,3.7618879e-08,3.4268965,8,0.083591752,
hyperchecker,16,2422,22,0.51623569,0.52036244,0.0041267499,0.51623569,0.52036244,0.50006395,0.50005196,0.47835871,4.1883403,,,0.0034897625,0.011400496,0.010623743,8.7503039e-08,2.1225558,20,0.0041267499,
hyperchecker,36,8102,22,0.51641754,0.51814509,0.0017275463,0.51641754,0.51814509,0.50067248,0.50245544,0.51972204,4.4316029,,,0.0089916041,0.0098557522,0.013444508,9.2561724e-08,3.0000227,20,0.0017275463,
multiscale_1d,16,2261,2,0.49948508,0.96341531,0.46393023,0.53616288,0.25978324,0.49582853,0.90827307,0.23961247,3.9974761,0.6718638,0.29832664,0.40076576,0.44548846,0.65425324,3.762496e-08,17.033786,1,-0.27637964,-0.37353716
multiscale_1d,36,7741,2,0.49952342,0.97979616,0.48027274,0.53701883,0.27760743,0.49552987,0.92722171,0.31448192,4.1367827,0.67299901,0.32817782,0.37999217,0.36075111,0.54646614,3.9274797e-08,2.5361189,1,-0.2594114,-0.34482119
chirp_1d,16,2261,2,0.5006452,0.95166364,0.45101844,0.46451075,0.33843648,0.49672716,0.8904849,0.22999253,3.9399301,0.46553548,0.23804007,0.57146144,0.54301996,0.64808402,3.6935321e-08,5.3004783,1,-0.12607427,-0.22749541
chirp_1d,36,7741,2,0.5007546,0.98384039,0.48308579,0.46555292,0.3072677,0.49643468,0.9085866,0.30127801,4.1173162,0.46653115,0.18875174,0.57319153,0.52697255,0.66158541,2.0398048e-08,6.8881833,1,-0.15828521,-0.27777941
localized_steps_1d,16,2261,2,0.55288598,0.99935786,0.44647188,0.60332462,0.95407042,0.54968291,0.96525751,0.23341674,3.9322556,0.69589404,0.90856717,0.48952865,0.4340627,0.50319006,3.7108916e-08,1.9809387,1,0.3507458,0.21267314
localized_steps_1d,36,7741,2,0.55289639,0.9996499,0.4467535,0.60337642,0.97367039,0.54873117,0.97208923,0.29701739,4.1115217,0.69597141,0.94586128,0.34838914,0.4185457,0.43162857,0,1.8252501,1,0.37029396,0.24988987
fourier_mix_1d,16,2261,2,0.66642686,0.98793332,0.32150646,0.26145334,0.40970711,0.66213394,0.9251807,0.23600903,3.9216393,0.16382872,0.28643038,0.38229726,0.38984402,0.53057475,4.9271866e-08,10.338947,1,0.14825378,0.12260166
fourier_mix_1d,36,7741,2,0.66633215,0.99070985,0.3243777,0.26589681,0.41220237,0.66095166,0.94437871,0.29447754,4.1270657,0.16734533,0.27719638,0.34925875,0.3030366,0.50258623,2.4680716e-08,2.9839458,1,0.14630555,0.10985106
