task,width,parameters,mlp_fit,soft_fit,fit_advantage,mlp_test,soft_test,mlp_auc,soft_auc,mlp_seconds,soft_seconds,mlp_tail,soft_tail,base_only_drop,uniform_drop,mismatched_drop,mlp_jacobian_variability,soft_jacobian_variability,soft_jacobian_change_rank,test_advantage,tail_advantage
spiral,16,2294,0.80167099,1,0.19832901,0.32883333,0.35566666,0.65545179,0.9206473,0.54012421,3.9285192,0.31788889,0.29588889,0.42885272,0.42084959,0.48364882,2.1493092,9.5977476,4,0.026833331,-0.021999999
spiral,36,7814,0.98330778,1,0.016692221,0.33683334,0.354,0.72436954,0.92847212,0.68297111,4.0496523,0.324,0.31844445,0.4135656,0.39875733,0.45290933,2.1850729,1.9211876,4,0.017166664,-0.0055555536
checkerboard,16,2294,0.74248897,0.96248104,0.21999207,0.51022222,0.45877778,0.56403967,0.83865617,0.52624519,3.9135778,0.48177778,0.38955556,0.44448428,0.43795839,0.45138648,2.4787001,7.1128999,4,-0.051444446,-0.092222224
checkerboard,36,7814,0.83977528,0.95703077,0.11725549,0.50722222,0.44488889,0.65160795,0.85128595,0.67225178,4.1304056,0.47711111,0.34211111,0.43754865,0.45031675,0.44503875,3.943678,7.1462823,4,-0.062333331,-0.135
two_moons,16,2294,0.99973795,0.99973795,0,0.99973795,0.99973795,0.97814427,0.98069842,0.53803108,3.9931738,,,0.15431082,0.11481987,0.18967815,0.88222883,1.0962566,4,0,
two_moons,36,7814,0.99974899,0.99974899,0,0.99974899,0.99974899,0.98614248,0.98602282,0.67080981,4.1760141,,,0.11679632,0.10458599,0.13100047,0.93600649,0.7736245,4,0,
pinwheel,16,2345,0.99947673,1,0.00052326918,0.99947673,1,0.96291273,0.96923312,0.54226389,3.9776821,,,0.18293524,0.17412059,0.2492086,0.74856826,1.030372,10,0.00052326918,
pinwheel,36,7925,0.99973118,1,0.00026881695,0.99973118,1,0.97539687,0.97950255,0.68560972,4.1846653,,,0.13709144,0.1157741,0.24795648,0.8598604,1.0003293,10,0.00026881695,
xor_quads,16,2294,0.9978886,0.99729122,-0.00059738755,0.9978886,0.99729122,0.97796461,0.97736479,0.54278225,4.0470999,,,0.036488911,0.031852335,0.080305209,6.0052823,6.008317,4,-0.00059738755,
xor_quads,36,7814,0.99770796,0.99693769,-0.00077027082,0.99770796,0.99693769,0.98212897,0.98231112,0.69157325,4.2495923,,,0.0049718122,0.0053495566,0.0079836945,5.7096203,5.6958752,4,-0.00077027082,
sinusoid_bounds,16,2294,0.97426982,0.98995315,0.015683333,0.97426982,0.98995315,0.92670316,0.95793501,0.55758631,4.2490803,,,0.15547824,0.15101021,0.19743952,11.764631,11.037749,4,0.015683333,
