omega,a,N,depth,node_index,d,e,span_width,theta_mean,theta_std,theta_min,theta_max,minimum_cosine,minimum_sine,left_phase_summary,right_phase_summary,local_reconstruction_residual,unitarity_residual,symmetry_residual,control
2,2,16,0,0,1,2,32,1.0962652291838992,0.5720586592474478,0.08646102985519034,1.5707963261678803,6.270162779577911e-10,0.08635334673472576,-0.10054728483469651,-0.08722807126940274,3.4229194500133066e-15,4.1915652831837184e-15,1.44490858677874e-16,zeta
2,2,16,1,0,1,4,16,0.7966373920987608,0.42456880079917253,0.19282149611650276,1.4835206372202157,0.08716493460748699,0.19162886069880755,-0.15861696441476653,0.12560104480128903,2.4375323020612943e-15,4.1915652831837184e-15,1.44490858677874e-16,zeta
2,2,16,2,0,1,8,8,0.2874140047365148,0.17450804689529664,0.11488661567241817,0.5120645352266034,0.8717347892874174,0.11463405225667035,0.06678359126806155,0.51845035627481,1.8144859212261198e-15,4.1915652831837184e-15,1.44490858677874e-16,zeta
2,2,16,3,0,1,16,4,0.028700879827389118,0.012973600627545639,0.01572727919984348,0.041674480454934756,0.9991317445131033,0.015726630857825163,-0.04066499307968943,0.0,1.2885981721105565e-15,4.1915652831837184e-15,1.44490858677874e-16,zeta
2,2,16,3,1,7,16,4,1.4422550778598735,0.05484619248831135,1.387408885371562,1.4971012703481847,0.07362836872440062,0.98323159707548,0.0,0.0,1.0818069449973765e-15,4.1915652831837184e-15,1.44490858677874e-16,zeta
2,2,16,2,1,3,8,8,1.191806584294941,0.2121849120037283,0.9529670885697229,1.523868357730972,0.04691074656340224,0.8151378270072845,0.18352332131444216,0.44451753852171927,1.167613506710221e-15,4.1915652831837184e-15,1.44490858677874e-16,zeta
2,2,16,3,2,3,16,4,0.7796820785706738,0.41878309112356804,0.36089898744710586,1.1984651696942419,0.3637878489465853,0.35311545030782576,2.7755575615628914e-16,-0.6752873704909609,1.0708243783117313e-15,4.1915652831837184e-15,1.44490858677874e-16,zeta
2,2,16,3,3,5,16,4,0.9524921314805943,0.09263233048435149,0.8598598009962428,1.0451244619649458,0.5017942722285895,0.7577510843645402,0.9827383896757524,0.0,8.816170278093391e-16,4.1915652831837184e-15,1.44490858677874e-16,zeta
2,2,16,1,1,1,4,16,0.7966373920987606,0.4245688007991726,0.19282149611650246,1.4835206372202157,0.08716493460748699,0.19162886069880725,-0.02743004405489359,0.24888815247308016,2.2618213518006506e-15,4.1915652831837184e-15,1.44490858677874e-16,zeta
2,2,16,2,2,1,8,8,0.2874140047365147,0.17450804689529623,0.11488661567241816,0.5120645352266023,0.8717347892874179,0.11463405225667034,-0.2826968414650394,0.30253710607783446,1.6523220835608623e-15,4.1915652831837184e-15,1.44490858677874e-16,zeta
