model,parameters,relative_error,omega,a,N,control
constant,1,1.0,2,2,16,zeta
depth_only,4,0.9251476734555455,2,2,16,zeta
diagonal_only,8,0.8710258404154645,2,2,16,zeta
rank_1,14,0.6869798881146775,2,2,16,zeta
rank_2,27,0.31889457768879864,2,2,16,zeta
rank_3,40,8.203438889517199e-16,2,2,16,zeta
rank_4,53,8.220808654141673e-16,2,2,16,zeta
unrestricted,32,0.0,2,2,16,zeta
constant,1,1.0,2,2,32,zeta
depth_only,5,0.6909746442462178,2,2,32,zeta
diagonal_only,16,0.9110849399809045,2,2,32,zeta
rank_1,23,0.586083054255924,2,2,32,zeta
rank_2,45,0.363105811972496,2,2,32,zeta
rank_3,67,0.2268106218292387,2,2,32,zeta
rank_4,89,8.387646967077387e-16,2,2,32,zeta
rank_5,111,8.324311589692196e-16,2,2,32,zeta
unrestricted,80,0.0,2,2,32,zeta
constant,1,1.0,2,2,64,zeta
depth_only,6,0.4416699218490048,2,2,64,zeta
diagonal_only,32,0.9767640515687998,2,2,64,zeta
rank_1,40,0.38661881036304274,2,2,64,zeta
rank_2,79,0.23101181260305992,2,2,64,zeta
rank_3,118,0.10709499074145451,2,2,64,zeta
rank_4,157,0.04346377782190612,2,2,64,zeta
rank_5,196,9.039055285968286e-16,2,2,64,zeta
rank_6,235,9.11340533130667e-16,2,2,64,zeta
unrestricted,192,0.0,2,2,64,zeta
constant,1,1.0,1.5,2,16,zeta
depth_only,4,0.8542390035774764,1.5,2,16,zeta
diagonal_only,8,0.9110816258992149,1.5,2,16,zeta
rank_1,14,0.7604402198943941,1.5,2,16,zeta
rank_2,27,0.47636593300427593,1.5,2,16,zeta
rank_3,40,1.5371063426308424e-15,1.5,2,16,zeta
rank_4,53,1.546742234455827e-15,1.5,2,16,zeta
unrestricted,32,0.0,1.5,2,16,zeta
constant,1,1.0,1.5,2,32,zeta
depth_only,5,0.8303144540240935,1.5,2,32,zeta
diagonal_only,16,0.9101068944331089,1.5,2,32,zeta
rank_1,23,0.8064871344518316,1.5,2,32,zeta
rank_2,45,0.6006199215522091,1.5,2,32,zeta
rank_3,67,0.37788272214888885,1.5,2,32,zeta
rank_4,89,6.044331814652866e-16,1.5,2,32,zeta
rank_5,111,5.900715687609007e-16,1.5,2,32,zeta
unrestricted,80,0.0,1.5,2,32,zeta
constant,1,1.0,1.5,2,64,zeta
depth_only,6,0.8116281413085843,1.5,2,64,zeta
diagonal_only,32,0.9311046522768529,1.5,2,64,zeta
rank_1,40,0.7942673019721677,1.5,2,64,zeta
rank_2,79,0.6334849462137889,1.5,2,64,zeta
rank_3,118,0.46415310451752567,1.5,2,64,zeta
