omega,a,N,trial,relative_error,passed
2,1.25,16,0,4.641901705428329e-16,True
2,1.25,16,1,1.7157185476435153e-16,True
2,1.25,16,2,6.1313326573568455e-16,True
2,1.25,16,3,2.1175837084893016e-16,True
2,1.25,32,0,2.9049034182024886e-16,True
2,1.25,32,1,1.8741116374123054e-16,True
2,1.25,32,2,2.31729035055734e-16,True
2,1.25,32,3,4.594734560718485e-16,True
2,1.25,64,0,2.608699578717562e-16,True
2,1.25,64,1,3.825274694446905e-16,True
2,1.25,64,2,3.2239105993216704e-16,True
2,1.25,64,3,2.2978590398720035e-16,True
2,1.25,128,0,2.450653221470584e-16,True
2,1.25,128,1,2.9578835687552737e-16,True
2,1.25,128,2,2.6070739653519553e-16,True
2,1.25,128,3,2.1691985550109614e-16,True
2,2,16,0,1.7072925357054627e-16,True
2,2,16,1,1.5374664254619988e-16,True
2,2,16,2,3.82017291270824e-16,True
2,2,16,3,2.3983691676385333e-16,True
2,2,32,0,3.0759318529050903e-16,True
2,2,32,1,2.440045274854186e-16,True
2,2,32,2,2.7490787418062e-16,True
2,2,32,3,2.5540382427174893e-16,True
2,2,64,0,2.1642550868032918e-16,True
2,2,64,1,2.8006948734132223e-16,True
2,2,64,2,2.1733524327841522e-16,True
2,2,64,3,3.2320476932180764e-16,True
2,2,128,0,2.573361465597765e-16,True
2,2,128,1,3.809791397525909e-16,True
2,2,128,2,3.023625055604398e-16,True
2,2,128,3,2.941069793199031e-16,True
2,4,16,0,2.654557746678136e-16,True
2,4,16,1,3.4045145642553075e-16,True
2,4,16,2,1.5058482788793376e-16,True
2,4,16,3,2.6548932385879035e-16,True
2,4,32,0,2.825251112897395e-16,True
2,4,32,1,2.1382558174930963e-16,True
2,4,32,2,2.5659040371532263e-16,True
2,4,32,3,3.033337421857293e-16,True
2,4,64,0,2.6968659743552977e-16,True
2,4,64,1,3.317189228361927e-16,True
2,4,64,2,3.034933094503613e-16,True
2,4,64,3,3.4110717265606987e-16,True
2,4,128,0,2.8360070062963543e-16,True
2,4,128,1,3.491512161089945e-16,True
2,4,128,2,3.09497710758487e-16,True
2,4,128,3,3.67050853001805e-16,True
1.5,1.25,16,0,1.7868719993072518e-16,True
1.5,1.25,16,1,3.115440666416809e-16,True
1.5,1.25,16,2,4.764624425422012e-16,True
1.5,1.25,16,3,2.5115922677415637e-16,True
1.5,1.25,32,0,2.230691732059478e-16,True
1.5,1.25,32,1,2.0069709719098644e-16,True
1.5,1.25,32,2,2.2697861048055335e-16,True
1.5,1.25,32,3,2.156756058572983e-16,True
1.5,1.25,64,0,1.7415074619592836e-16,True
1.5,1.25,64,1,3.4768183283728135e-16,True
1.5,1.25,64,2,2.629577231973087e-16,True
1.5,1.25,64,3,2.837998646645149e-16,True
1.5,1.25,128,0,2.703652648423204e-16,True
1.5,1.25,128,1,3.6780038836040493e-16,True
1.5,1.25,128,2,2.835667307618485e-16,True
1.5,1.25,128,3,1.926990667494577e-16,True
1.5,2,16,0,2.3174396363873415e-16,True
1.5,2,16,1,2.162761445259544e-16,True
1.5,2,16,2,3.7154933927037625e-16,True
1.5,2,16,3,2.517841045466119e-16,True
1.5,2,32,0,2.529774926805206e-16,True
1.5,2,32,1,2.299883942718336e-16,True
1.5,2,32,2,2.5908582365003766e-16,True
1.5,2,32,3,3.0616355475274824e-16,True
1.5,2,64,0,2.0926158740263635e-16,True
1.5,2,64,1,3.1006383219724505e-16,True
1.5,2,64,2,2.7983446659510464e-16,True
1.5,2,64,3,2.6045796614425183e-16,True
1.5,2,128,0,2.5532414124737706e-16,True
1.5,2,128,1,3.669517702354882e-16,True
1.5,2,128,2,2.968365377662268e-16,True
1.5,2,128,3,2.649776934614342e-16,True
1.5,4,16,0,2.9571453826429785e-16,True
1.5,4,16,1,3.184831253670654e-16,True
1.5,4,16,2,1.9928695843137214e-16,True
1.5,4,16,3,1.8848875670071113e-16,True
1.5,4,32,0,3.375544356653539e-16,True
1.5,4,32,1,2.518436560562247e-16,True
1.5,4,32,2,2.4650116091006933e-16,True
1.5,4,32,3,2.4762704585115506e-16,True
1.5,4,64,0,2.478188471220757e-16,True
1.5,4,64,1,3.077329666003572e-16,True
1.5,4,64,2,2.7069450466839433e-16,True
1.5,4,64,3,3.7759568812285075e-16,True
1.5,4,128,0,3.2798015188790993e-16,True
1.5,4,128,1,3.7816973212047186e-16,True
1.5,4,128,2,2.865178475372352e-16,True
1.5,4,128,3,3.1281028801754097e-16,True
1.25,1.25,16,0,2.0057093286470033e-16,True
1.25,1.25,16,1,1.4115694496528055e-16,True
1.25,1.25,16,2,3.927341227301222e-16,True
1.25,1.25,16,3,1.5240343390830246e-16,True
1.25,1.25,32,0,2.275185621831282e-16,True
1.25,1.25,32,1,2.2120682834479443e-16,True
1.25,1.25,32,2,2.4524650241986645e-16,True
1.25,1.25,32,3,3.7322852401301266e-16,True
1.25,1.25,64,0,1.7045701629887001e-16,True
1.25,1.25,64,1,3.03743168493742e-16,True
1.25,1.25,64,2,2.517775396378389e-16,True
1.25,1.25,64,3,3.3143742098465735e-16,True
1.25,1.25,128,0,2.474059202753116e-16,True
1.25,1.25,128,1,3.260406046440969e-16,True
1.25,1.25,128,2,2.7078701104507075e-16,True
1.25,1.25,128,3,2.324147393776176e-16,True
1.25,2,16,0,2.687433682211496e-16,True
1.25,2,16,1,1.6748497971322254e-16,True
1.25,2,16,2,2.247595488020264e-16,True
1.25,2,16,3,2.237726446771749e-16,True
1.25,2,32,0,3.3188904454791913e-16,True
1.25,2,32,1,2.368529238226219e-16,True
1.25,2,32,2,2.1311619287196073e-16,True
1.25,2,32,3,2.861895404598001e-16,True
1.25,2,64,0,2.166995576140791e-16,True
1.25,2,64,1,3.074657643818306e-16,True
1.25,2,64,2,2.9709802735837274e-16,True
1.25,2,64,3,3.446593949274456e-16,True
1.25,2,128,0,2.810832742674859e-16,True
1.25,2,128,1,4.1887935652272576e-16,True
1.25,2,128,2,2.560411221964578e-16,True
1.25,2,128,3,3.0377132907502416e-16,True
1.25,4,16,0,1.902732751135092e-16,True
1.25,4,16,1,2.401072308610739e-16,True
1.25,4,16,2,1.853448145151383e-16,True
1.25,4,16,3,1.971860526219098e-16,True
1.25,4,32,0,3.386210860283178e-16,True
1.25,4,32,1,2.152873510580417e-16,True
1.25,4,32,2,2.3088265833575117e-16,True
1.25,4,32,3,2.3177367754885933e-16,True
1.25,4,64,0,3.223392037937235e-16,True
1.25,4,64,1,3.363911731688836e-16,True
1.25,4,64,2,2.6440500395230373e-16,True
1.25,4,64,3,3.4907718366522754e-16,True
1.25,4,128,0,2.599918659826196e-16,True
1.25,4,128,1,3.125397761667104e-16,True
1.25,4,128,2,3.061294913311897e-16,True
1.25,4,128,3,3.1560017234093104e-16,True
1.1,1.25,16,0,2.7133942057121945e-16,True
1.1,1.25,16,1,2.824546764572009e-16,True
1.1,1.25,16,2,3.4924546132301064e-16,True
1.1,1.25,16,3,1.9620978826139686e-16,True
1.1,1.25,32,0,2.6779322786672045e-16,True
1.1,1.25,32,1,2.898591828981546e-16,True
1.1,1.25,32,2,2.700508386602823e-16,True
1.1,1.25,32,3,2.1762674439960604e-16,True
1.1,1.25,64,0,2.355659913880981e-16,True
1.1,1.25,64,1,2.748822179460781e-16,True
1.1,1.25,64,2,2.9539241213600214e-16,True
1.1,1.25,64,3,3.328742772770166e-16,True
1.1,1.25,128,0,2.43524628920897e-16,True
1.1,1.25,128,1,3.0481757343853546e-16,True
1.1,1.25,128,2,2.5507612762039147e-16,True
1.1,1.25,128,3,2.38646583392732e-16,True
1.1,2,16,0,1.822595395998056e-16,True
1.1,2,16,1,2.258916034456021e-16,True
1.1,2,16,2,2.535670621573068e-16,True
1.1,2,16,3,1.2985970137855152e-16,True
1.1,2,32,0,3.128234149318665e-16,True
1.1,2,32,1,2.1662513752822546e-16,True
1.1,2,32,2,1.9777310744156827e-16,True
1.1,2,32,3,2.2603771072345585e-16,True
1.1,2,64,0,2.0593789527412442e-16,True
1.1,2,64,1,3.3326623385140045e-16,True
1.1,2,64,2,3.2081082566784553e-16,True
1.1,2,64,3,2.739536785372802e-16,True
1.1,2,128,0,2.694049163194469e-16,True
1.1,2,128,1,3.30745632945094e-16,True
1.1,2,128,2,2.276910413042659e-16,True
1.1,2,128,3,2.645415539343062e-16,True
1.1,4,16,0,1.7999563667045294e-16,True
1.1,4,16,1,1.8171372570831778e-16,True
1.1,4,16,2,2.9661583244846346e-16,True
1.1,4,16,3,1.3772539763141783e-16,True
1.1,4,32,0,2.9507085430347726e-16,True
1.1,4,32,1,2.27323547063373e-16,True
1.1,4,32,2,1.7091481128740928e-16,True
1.1,4,32,3,2.5616039276354505e-16,True
1.1,4,64,0,2.729779079697304e-16,True
1.1,4,64,1,3.199069035018003e-16,True
1.1,4,64,2,2.7582236669021267e-16,True
1.1,4,64,3,3.374904902789998e-16,True
1.1,4,128,0,3.136568559892425e-16,True
1.1,4,128,1,2.663989721533847e-16,True
1.1,4,128,2,3.4688838256862044e-16,True
1.1,4,128,3,3.040491324411708e-16,True
