model,parameters,relative_error,N,control
constant,1,1.0,32,zeta
depth_only,5,0.6205013328724778,32,zeta
diagonal_only,16,0.9657506954835237,32,zeta
rank_1,23,0.5603159333101708,32,zeta
rank_2,45,0.321229991569866,32,zeta
rank_3,67,0.17919468019966875,32,zeta
rank_4,89,9.83177685039104e-16,32,zeta
rank_5,111,9.867316070252326e-16,32,zeta
unrestricted,80,0.0,32,zeta
constant,1,1.0,32,gaussian_fourier_phase
depth_only,5,0.3607628857892061,32,gaussian_fourier_phase
diagonal_only,16,0.9897751205996255,32,gaussian_fourier_phase
rank_1,23,0.35253968536611946,32,gaussian_fourier_phase
rank_2,45,0.13879275313509912,32,gaussian_fourier_phase
rank_3,67,0.0027567395586849063,32,gaussian_fourier_phase
rank_4,89,4.3993901076204534e-16,32,gaussian_fourier_phase
rank_5,111,4.496805387330268e-16,32,gaussian_fourier_phase
unrestricted,80,0.0,32,gaussian_fourier_phase
constant,1,1.0,32,finite_blaschke
depth_only,5,0.3793522382905122,32,finite_blaschke
diagonal_only,16,0.974195125096549,32,finite_blaschke
rank_1,23,0.3415467792494617,32,finite_blaschke
rank_2,45,0.1987039088058991,32,finite_blaschke
rank_3,67,0.11055409897918544,32,finite_blaschke
rank_4,89,3.218908354381248e-16,32,finite_blaschke
rank_5,111,3.126920495148724e-16,32,finite_blaschke
unrestricted,80,0.0,32,finite_blaschke
constant,1,1.0,32,random_rational_allpass
depth_only,5,0.3326908318789593,32,random_rational_allpass
diagonal_only,16,0.989180407348251,32,random_rational_allpass
rank_1,23,0.3140335069339476,32,random_rational_allpass
rank_2,45,0.1780843093631473,32,random_rational_allpass
rank_3,67,0.023176170277935705,32,random_rational_allpass
rank_4,89,9.575558778785267e-16,32,random_rational_allpass
rank_5,111,9.585831608644489e-16,32,random_rational_allpass
unrestricted,80,0.0,32,random_rational_allpass
constant,1,1.0,32,generic_smooth_unit_phase
depth_only,5,0.3826329158839607,32,generic_smooth_unit_phase
diagonal_only,16,0.9911105146138378,32,generic_smooth_unit_phase
rank_1,23,0.3671723539159664,32,generic_smooth_unit_phase
rank_2,45,0.13447365882816012,32,generic_smooth_unit_phase
rank_3,67,0.024055789765533984,32,generic_smooth_unit_phase
rank_4,89,2.536299316931429e-16,32,generic_smooth_unit_phase
rank_5,111,2.536299316931429e-16,32,generic_smooth_unit_phase
unrestricted,80,0.0,32,generic_smooth_unit_phase
constant,1,1.0,64,zeta
depth_only,6,0.570927493422041,64,zeta
diagonal_only,32,0.9788819872617026,64,zeta
rank_1,40,0.5412156769227803,64,zeta
rank_2,79,0.39220874025484337,64,zeta
rank_3,118,0.2423336209802785,64,zeta
rank_4,157,0.10683462464218699,64,zeta
rank_5,196,7.934862732833448e-16,64,zeta
rank_6,235,8.003468792048981e-16,64,zeta
unrestricted,192,0.0,64,zeta
constant,1,1.0,64,gaussian_fourier_phase
depth_only,6,0.4245124795214474,64,gaussian_fourier_phase
diagonal_only,32,0.9839858795225751,64,gaussian_fourier_phase
rank_1,40,0.4049310464917385,64,gaussian_fourier_phase
rank_2,79,0.2332350361368884,64,gaussian_fourier_phase
rank_3,118,0.12491389041865542,64,gaussian_fourier_phase
rank_4,157,0.0648394479740839,64,gaussian_fourier_phase
rank_5,196,4.2157630329599207e-16,64,gaussian_fourier_phase
rank_6,235,4.217384168583369e-16,64,gaussian_fourier_phase
unrestricted,192,0.0,64,gaussian_fourier_phase
constant,1,1.0,64,finite_blaschke
depth_only,6,0.25744281023379134,64,finite_blaschke
diagonal_only,32,0.9928868210220483,64,finite_blaschke
rank_1,40,0.22662695479026543,64,finite_blaschke
rank_2,79,0.15179001961541735,64,finite_blaschke
rank_3,118,0.06444310338416578,64,finite_blaschke
rank_4,157,0.03626876691859534,64,finite_blaschke
rank_5,196,7.080049804817007e-16,64,finite_blaschke
rank_6,235,6.888295481283176e-16,64,finite_blaschke
unrestricted,192,0.0,64,finite_blaschke
constant,1,1.0,64,random_rational_allpass
depth_only,6,0.32620728573287144,64,random_rational_allpass
diagonal_only,32,0.9836654191642075,64,random_rational_allpass
rank_1,40,0.30414472949520627,64,random_rational_allpass
rank_2,79,0.2289492203139285,64,random_rational_allpass
rank_3,118,0.14827468959745463,64,random_rational_allpass
rank_4,157,0.0844132540492062,64,random_rational_allpass
rank_5,196,5.59369612791876e-16,64,random_rational_allpass
rank_6,235,5.492235172268339e-16,64,random_rational_allpass
unrestricted,192,0.0,64,random_rational_allpass
constant,1,1.0,64,generic_smooth_unit_phase
depth_only,6,0.3765221736291109,64,generic_smooth_unit_phase
diagonal_only,32,0.9901025872896074,64,generic_smooth_unit_phase
rank_1,40,0.3695024827900401,64,generic_smooth_unit_phase
rank_2,79,0.23799459037834342,64,generic_smooth_unit_phase
rank_3,118,0.13492097617329188,64,generic_smooth_unit_phase
rank_4,157,0.08357874503260838,64,generic_smooth_unit_phase
rank_5,196,1.08697001263461e-15,64,generic_smooth_unit_phase
rank_6,235,1.0746986681185903e-15,64,generic_smooth_unit_phase
unrestricted,192,0.0,64,generic_smooth_unit_phase
constant,1,1.0,128,zeta
depth_only,7,0.5831003120911781,128,zeta
diagonal_only,64,0.9715665743895844,128,zeta
rank_1,73,0.5544885211255566,128,zeta
rank_2,145,0.4260232041392698,128,zeta
rank_3,217,0.3046280093028647,128,zeta
rank_4,289,0.2058381126736307,128,zeta
rank_5,361,0.04484402062795431,128,zeta
rank_6,433,9.6696323646262e-16,128,zeta
rank_7,505,9.92037421993265e-16,128,zeta
unrestricted,448,0.0,128,zeta
constant,1,1.0,128,gaussian_fourier_phase
depth_only,7,0.3846420444730915,128,gaussian_fourier_phase
diagonal_only,64,0.9930719872768854,128,gaussian_fourier_phase
rank_1,73,0.3640785560421404,128,gaussian_fourier_phase
rank_2,145,0.21877015874489922,128,gaussian_fourier_phase
rank_3,217,0.14071575224679472,128,gaussian_fourier_phase
rank_4,289,0.06674394040732687,128,gaussian_fourier_phase
rank_5,361,0.019857254931398123,128,gaussian_fourier_phase
