omega,a,N,symmetry_residual,lambda_min,lambda_max,spectral_radius,defect_margin,determinant_arguments_positive,logdet_plus,logdet_minus,log_m,m,discretization,log_m_delta_from_previous,converged_1e-8
2,1.05,64,0.0,-0.016041316458988313,0.08641930174922649,0.08641930174922649,0.9925317042851761,True,0.0707065268861178,-0.07851214119782758,0.14921866808394538,1.1609268190989595,piecewise-constant Galerkin; triangular cell averages split at log integers,nan,False
2,1.05,128,0.0,-0.016048890879350762,0.08642456943069629,0.08642456943069629,0.9925307937987188,True,0.07070423162667647,-0.0785112329990604,0.14921546462573687,1.160923100124368,piecewise-constant Galerkin; triangular cell averages split at log integers,3.2034582085060936e-06,False
2,1.1,64,0.0,-0.058179100745775064,0.2673765432988311,0.2673765432988311,0.9285097840935683,True,0.19159324329499158,-0.2698895522645547,0.4614827955595463,1.5864245851644863,piecewise-constant Galerkin; triangular cell averages split at log integers,nan,False
2,1.1,128,0.0,-0.058205511274280086,0.2673907366911805,0.2673907366911805,0.9285021939317477,True,0.19157668092403884,-0.269887449787408,0.4614641307114468,1.5863949750669177,piecewise-constant Galerkin; triangular cell averages split at log integers,1.86648480994811e-05,False
2,1.25,64,0.0,-0.29144753956571723,0.7888423677967282,0.7888423677967282,0.37772771876885136,True,0.302903475632436,-1.385233061552276,1.6881365371847121,5.409391108073165,piecewise-constant Galerkin; triangular cell averages split at log integers,nan,False
2,1.25,128,0.0,-0.2915692834554401,0.7888807450413349,0.7888807450413349,0.3776671701030284,True,0.3027080031484786,-1.3853640870858024,1.688072090234281,5.409042500546027,piecewise-constant Galerkin; triangular cell averages split at log integers,6.444695043117399e-05,False
2,1.5,64,0.0,-0.9181499866522936,0.9982706560620896,0.9982706560620896,0.003455697245365097,True,-1.5571943164254671,-6.217042282526952,4.659847966101485,105.62002311205589,piecewise-constant Galerkin; triangular cell averages split at log integers,nan,False
2,1.5,128,0.0,-0.9185387559872564,0.9984487459212197,0.9984487459212197,0.0031001017683437437,True,-1.562042397072544,-6.326826126387689,4.764783729315145,117.30574475048493,piecewise-constant Galerkin; triangular cell averages split at log integers,0.1049357632136596,False
2,2,64,0.0,-0.9989112787691808,0.999717398770975,0.999717398770975,0.0005651225945954019,True,-11.034667597108637,-15.841229530060557,4.8065619329519205,122.31038251933163,piecewise-constant Galerkin; triangular cell averages split at log integers,nan,False
2,2,128,0.0,-0.9996949483372191,0.9999270622666817,0.9999270622666817,0.00014587014672362564,True,-13.448499825907792,-18.691521056467252,5.24302123055946,189.24098022723078,piecewise-constant Galerkin; triangular cell averages split at log integers,0.43645929760753965,False
